price,phone_type,shop,sales,title
5499.0,64GB,Apple产品京东自营旗舰店,850000.0,iPhone 11
6199.0,64GB,Apple产品京东自营旗舰店,1110000.0,iPhone XS Max
6799.0,256GB,Apple产品京东自营旗舰店,850000.0,iPhone 11
5999.0,128GB,Apple产品京东自营旗舰店,850000.0,iPhone 11
9599.0,64GB,Apple产品京东自营旗舰店,130000.0,iPhone 11 Pro Max
7899.0,512GB,Apple产品京东自营旗舰店,1110000.0,iPhone XS Max
7199.0,256GB,Apple产品京东自营旗舰店,1110000.0,iPhone XS Max
6399.0,8GB+128GB,华为京东自营官方旗舰店,180000.0,华为 Mate 30 Pro
8699.0,64GB,Apple产品京东自营旗舰店,150000.0,iPhone 11 Pro
12699.0,512GB,Apple产品京东自营旗舰店,130000.0,iPhone 11 Pro Max
10899.0,256GB,Apple产品京东自营旗舰店,130000.0,iPhone 11 Pro Max
7899.0,8GB+512GB,华为京东自营官方旗舰店,180000.0,华为 Mate 30 Pro
6899.0,8GB+256GB,华为京东自营官方旗舰店,180000.0,华为 Mate 30 Pro
11799.0,512GB,Apple产品京东自营旗舰店,150000.0,iPhone 11 Pro
5499.0,8GB+256GB,华为京东自营官方旗舰店,130000.0,华为 Mate 30
4999.0,8GB+128GB,华为京东自营官方旗舰店,130000.0,华为 Mate 30
5999.0,256GB,Apple产品京东自营旗舰店,2110000.0,iPhone XR
2399.0,8GB+128GB,荣耀京东自营旗舰店,800000.0,荣耀V20
3799.0,6GB+128GB,一加手机京东自营官方旗舰店,360000.0,一加 7 Pro
4999.0,128GB,Apple产品京东自营旗舰店,2110000.0,iPhone XR
4499.0,64GB,Apple产品京东自营旗舰店,2110000.0,iPhone XR
2099.0,8GB+128GB,荣耀京东自营旗舰店,690000.0,荣耀20
4499.0,12GB+256GB,一加手机京东自营官方旗舰店,360000.0,一加 7 Pro
3899.0,8GB+256GB,一加手机京东自营官方旗舰店,360000.0,一加 7 Pro
2499.0,8GB+256GB,荣耀京东自营旗舰店,690000.0,荣耀20
1499.0,6GB+128GB,荣耀京东自营旗舰店,190000.0,荣耀20S
1999.0,8GB+128GB,荣耀京东自营旗舰店,190000.0,荣耀20S
1099.0,4GB+64GB,荣耀京东自营旗舰店,780000.0,荣耀9X
1999.0,8GB+128GB,荣耀京东自营旗舰店,780000.0,荣耀9X
1799.0,6GB+128GB,荣耀京东自营旗舰店,780000.0,荣耀9X
1299.0,6GB+64GB,荣耀京东自营旗舰店,780000.0,荣耀9X
2299.0,6GB+128GB,小米京东自营旗舰店,460000.0,小米9
2599.0,8GB+256GB,小米京东自营旗舰店,460000.0,小米9
2499.0,8GB+128GB,小米京东自营旗舰店,460000.0,小米9
5399.0,64GB,Apple产品京东自营旗舰店,380000.0,iPhone XS
7099.0,512GB,Apple产品京东自营旗舰店,380000.0,iPhone XS
6399.0,256GB,Apple产品京东自营旗舰店,380000.0,iPhone XS
2399.0,8GB+128GB,小米京东自营旗舰店,100000.0,Redmi K20Pro
2799.0,12GB+512GB,小米京东自营旗舰店,100000.0,Redmi K20Pro
2499.0,8GB+512GB,小米京东自营旗舰店,100000.0,Redmi K20Pro
4199.0,8GB+256GB,华为京东自营官方旗舰店,20000.0,华为 nova 6
3899.0,8GB+128GB,荣耀京东自营旗舰店,20000.0,荣耀V30 PRO
3799.0,8GB+128GB,华为京东自营官方旗舰店,20000.0,华为 nova 6
4199.0,8GB+256GB,荣耀京东自营旗舰店,20000.0,荣耀V30 PRO
7699.0,128G,聚捷联盛手机旗舰店,6700.0,iPhone 11
7699.0,256G,聚捷联盛手机旗舰店,6700.0,iPhone 11
6599.0,128G,聚捷联盛手机旗舰店,6700.0,iPhone 11
5999.0,64G,聚捷联盛手机旗舰店,6700.0,iPhone 11
7299.0,256G,聚捷联盛手机旗舰店,6700.0,iPhone 11
6199.0,128G,聚捷联盛手机旗舰店,6700.0,iPhone 11
5599.0,64G,聚捷联盛手机旗舰店,6700.0,iPhone 11
1648.0,6GB+256GB,vivo京东自营官方旗舰店,200000.0,vivo Z5
1698.0,8GB+128GB,vivo京东自营官方旗舰店,410000.0,vivo Z5x
1398.0,6GB+128GB,vivo京东自营官方旗舰店,410000.0,vivo Z5x
2999.0,8GB+128GB,一加手机京东自营官方旗舰店,73000.0,一加 7T
2499.0,8GB+128GB,华为京东自营官方旗舰店,320000.0,华为 nova 5 Pro
1298.0,6GB+64GB,vivo京东自营官方旗舰店,410000.0,vivo Z5x
3199.0,8GB+256GB,一加手机京东自营官方旗舰店,73000.0,一加 7T
2899.0,8GB+256GB,华为京东自营官方旗舰店,320000.0,华为 nova 5 Pro
4299.0,8GB+128GB,华为京东自营官方旗舰店,140000.0,华为 Mate 30
2098.0,8GB+128GB,vivo京东自营官方旗舰店,200000.0,vivo Z5
3999.0,6GB+128GB,华为京东自营官方旗舰店,140000.0,华为 Mate 30
899.0,4GB+64GB,小米京东自营旗舰店,230000.0,小米CC9e
1498.0,6GB+128GB,vivo京东自营官方旗舰店,200000.0,vivo Z5
1298.0,4GB+64GB,vivo京东自营官方旗舰店,410000.0,vivo Z5x
1099.0,4GB+128GB,小米京东自营旗舰店,230000.0,小米CC9e
1299.0,6GB+128GB,小米京东自营旗舰店,230000.0,小米CC9e
4188.0,8GB+256GB,华为京东自营官方旗舰店,600000.0,华为 P30
3688.0,8GB+128GB,华为京东自营官方旗舰店,600000.0,华为 P30
1599.0,6GB+64GB,华为京东自营官方旗舰店,140000.0,华为 nova 5z
3388.0,8GB+64GB,华为京东自营官方旗舰店,600000.0,华为 P30
1049.0,6GB+64GB,小米京东自营旗舰店,230000.0,小米CC9e
3388.0,6GB+128GB,华为京东自营官方旗舰店,600000.0,华为 P30
8999.0,256G,聚捷联盛手机旗舰店,6700.0,iPhone 11
1799.0,6GB+128GB,华为京东自营官方旗舰店,140000.0,华为 nova 5z
899.0,4GB+64GB,荣耀京东自营旗舰店,1230000.0,荣耀10青春版
5149.0,64GB,聚捷联盛手机旗舰店,6700.0,iPhone 11
6999.0,64G,聚捷联盛手机旗舰店,6700.0,iPhone 11
5699.0,128GB,聚捷联盛手机旗舰店,6700.0,iPhone 11
6599.0,256GB,聚捷联盛手机旗舰店,6700.0,iPhone 11
1699.0,6GB+128GB,荣耀京东自营旗舰店,1230000.0,荣耀10青春版
999.0,6GB+64GB,荣耀京东自营旗舰店,1230000.0,荣耀10青春版
3498.0,8GB+128GB,vivo京东自营官方旗舰店,110000.0,vivo iQOO Pro
1398.0,6GB+64GB,vivo京东自营官方旗舰店,200000.0,vivo Z5
3798.0,12GB+128GB,vivo京东自营官方旗舰店,110000.0,vivo iQOO Pro
3698.0,8GB+256GB,vivo京东自营官方旗舰店,110000.0,vivo iQOO Pro
