type,price,sales,shop,title
移动/联通2.8英寸屏,95.00,69329.0,创于佳讯数码专营店,纽曼M560
移动/联通2.6英寸屏,89.00,69329.0,创于佳讯数码专营店,纽曼M560
移动/联通2.4英寸屏,69.00,69329.0,创于佳讯数码专营店,纽曼M560
电信天翼2.6英寸屏,119.00,69329.0,创于佳讯数码专营店,纽曼M560
电信天翼2.8英寸屏,125.00,69329.0,创于佳讯数码专营店,纽曼M560
全网通用2.8英寸屏,199.00,69329.0,创于佳讯数码专营店,纽曼M560
移动/联通2.8英寸屏,95.00,73371.0,尼凯恩旗舰店,尼凯恩EN3
天翼电信2.8英寸屏,125.00,73371.0,尼凯恩旗舰店,尼凯恩EN3
移动/联通2.6英寸屏,89.00,73371.0,尼凯恩旗舰店,尼凯恩EN3
天翼电信2.6英寸屏,119.00,73371.0,尼凯恩旗舰店,尼凯恩EN3
移动/联通2.4英寸屏,69.00,73371.0,尼凯恩旗舰店,尼凯恩EN3
全网通用2.8英寸屏,199.00,73371.0,尼凯恩旗舰店,尼凯恩EN3
4+64GB,1099.00,36452.0,荣耀官方旗舰店,荣耀9X
6+64GB,1299.00,36452.0,荣耀官方旗舰店,荣耀9X
6+128GB,1799.00,36452.0,荣耀官方旗舰店,荣耀9X
8+128GB,1999.00,36452.0,荣耀官方旗舰店,荣耀9X
8+128GB,6399.00,10879.0,华为官方旗舰店,华为Mate30Pro
8+256GB,6899.00,10879.0,华为官方旗舰店,华为Mate30Pro
8+512GB,7899.00,10879.0,华为官方旗舰店,华为Mate30Pro
4+64GB,1298.00,26661.0,vivo官方旗舰店,vivoZ5x
6+64GB,1298.00,26661.0,vivo官方旗舰店,vivoZ5x
6+128GB,1398.00,26661.0,vivo官方旗舰店,vivoZ5x
8+128GB,1698.00,26661.0,vivo官方旗舰店,vivoZ5x
4+64GB,999.00,12585.0,小米官方旗舰店,红米note8
6+64GB,1099.00,12585.0,小米官方旗舰店,红米note8
6+128GB,1299.00,12585.0,小米官方旗舰店,红米note8
3+32GB,699.00,9764.0,小米官方旗舰店,红米8A
4+64GB,699.00,9764.0,小米官方旗舰店,红米8A
8+128GB,4999.00,10214.0,华为官方旗舰店,华为Mate30
8+256GB,5499.00,10214.0,华为官方旗舰店,华为Mate30
6+64GB,1398.00,15878.0,vivo官方旗舰店,vivoZ5
6+128GB,1598.00,15878.0,vivo官方旗舰店,vivoZ5
8+128GB,2098.00,15878.0,vivo官方旗舰店,vivoZ5
4+128GB,1399.00,9702.0,华为官方旗舰店,华为畅享10Plus
6+128GB,1699.00,9702.0,华为官方旗舰店,华为畅享10Plus
8+128GB,1899.00,9702.0,华为官方旗舰店,华为畅享10Plus
6+64GB,1099.00,125606.0,荣耀官方旗舰店,荣耀8X
6+128GB,1549.00,125606.0,荣耀官方旗舰店,荣耀8X
64GB,5499.00,10820.0,苏宁易购官方旗舰店,iPhone11
128GB,5999.00,10820.0,苏宁易购官方旗舰店,iPhone11
6+128GB,1399.00,13807.0,小米官方旗舰店,红米note8pro
8+128GB,1599.00,13807.0,小米官方旗舰店,红米note8pro
8+256GB,1799.00,13807.0,小米官方旗舰店,红米note8pro
6+128GB,1699.00,2379.0,小米官方旗舰店,红米k30
8+128GB,1899.00,2379.0,小米官方旗舰店,红米k30
8+256GB,2199.00,2379.0,小米官方旗舰店,红米k30
8+128GB,2499.00,35230.0,华为官方旗舰店,华为nova5Pro
8+256GB,2899.00,35230.0,华为官方旗舰店,华为nova5Pro
移动联通2.8英寸屏,94.90,20572.0,天语强宇专卖店,天语R7
移动联通2.6英寸屏,88.90,20572.0,天语强宇专卖店,天语R7
移动联通2.4英寸屏,68.90,20572.0,天语强宇专卖店,天语R7
电信天翼2.6英寸屏,118.90,20572.0,天语强宇专卖店,天语R7
电信天翼2.8英寸屏,124.90,20572.0,天语强宇专卖店,天语R7
全网通用2.8英寸屏,198.90,20572.0,天语强宇专卖店,天语R7
6+128GB,1699.00,44486.0,荣耀官方旗舰店,荣耀V20
8+128GB,2399.00,44486.0,荣耀官方旗舰店,荣耀V20
6+128GB,1599.00,16071.0,华为官方旗舰店,华为nova5z
8+128GB,3688.00,25377.0,华为官方旗舰店,华为P30
8+256GB,4188.00,25377.0,华为官方旗舰店,华为P30
6+128GB,3388.00,25377.0,华为官方旗舰店,华为P30
3+64GB,899.00,5086.0,vivo官方旗舰店,vivoU3x
4+64GB,999.00,5086.0,vivo官方旗舰店,vivoU3x
3+32GB,799.00,5086.0,vivo官方旗舰店,vivoU3x
3+32GB,649.00,19149.0,华为官方旗舰店,华为畅享9e
3+64GB,899.00,19149.0,华为官方旗舰店,华为畅享9e
8+128GB,2199.00,45339.0,荣耀官方旗舰店,荣耀20
8+256GB,2699.00,45339.0,荣耀官方旗舰店,荣耀20
64MB,59.00,135880.0,纽曼深圳专卖店,纽曼l6+
移动/联通 超清大屏,95.00,2214.0,关爱心旗舰店,关爱心G1
移动/联通 高清大屏,88.00,2214.0,关爱心旗舰店,关爱心G1
移动/联通 标清大屏,78.00,2214.0,关爱心旗舰店,关爱心G1
移动/联通 标清中屏,58.00,2214.0,关爱心旗舰店,关爱心G1
电信/天翼 高清大屏,119.00,2214.0,关爱心旗舰店,关爱心G1
电信/天翼 超清大屏,125.00,2214.0,关爱心旗舰店,关爱心G1
6+128GB,1799.00,6870.0,OPPO官方旗舰店,OPPOK5
8+128GB,1999.00,6870.0,OPPO官方旗舰店,OPPOK5
6+128GB,3299.00,1790.0,荣耀官方旗舰店,荣耀V30
8+128GB,3699.00,1790.0,荣耀官方旗舰店,荣耀V30
6+128GB,3999.00,8766.0,华为官方旗舰店,华为Mate30
8+128GB,4299.00,8766.0,华为官方旗舰店,华为Mate30
8+128GB,2399.00,5186.0,小米官方旗舰店,红米k20pro
8+512GB,2499.00,5186.0,小米官方旗舰店,红米k20pro
12+512GB,2799.00,5186.0,小米官方旗舰店,红米k20pro
移动/联通2.8英寸屏,95.00,10183.0,深圳易乐购数码专营店,纽曼L8S
移动/联通2.6英寸屏,78.00,10183.0,深圳易乐购数码专营店,纽曼L8S
移动/联通2.4英寸屏,58.00,10183.0,深圳易乐购数码专营店,纽曼L8S
电信天翼2.6英寸屏,118.00,10183.0,深圳易乐购数码专营店,纽曼L8S
电信天翼2.8英寸屏,125.00,10183.0,深圳易乐购数码专营店,纽曼L8S
全网通用2.8英寸屏,198.00,10183.0,深圳易乐购数码专营店,纽曼L8S
6+64GB,1399.00,28814.0,OPPO官方旗舰店,OPPOK3
8+128GB,1799.00,28814.0,OPPO官方旗舰店,OPPOK3
6+64GB,1199.00,32613.0,荣耀官方旗舰店,荣耀20i
6+128GB,1399.00,32613.0,荣耀官方旗舰店,荣耀20i
移动/联通2.8英寸屏,79.00,5792.0,誉品旗舰店,誉品Y550正品
移动/联通2.6英寸屏,69.00,5792.0,誉品旗舰店,誉品Y550正品
移动/联通2.4英寸屏,49.00,5792.0,誉品旗舰店,誉品Y550正品
全网通2.8英寸屏,168.00,5792.0,誉品旗舰店,誉品Y550正品
移动联通/2.2英寸屏,39.00,3897.0,皓轩手机旗舰店,4G全网通皓轩H5
移动联通/2.4英寸屏,59.00,3897.0,皓轩手机旗舰店,4G全网通皓轩H5
移动联通/2.6英寸屏,75.00,3897.0,皓轩手机旗舰店,4G全网通皓轩H5
移动联通/2.8英寸屏,89.00,3897.0,皓轩手机旗舰店,4G全网通皓轩H5
移动联通/2.8英寸屏,99.00,3897.0,皓轩手机旗舰店,4G全网通皓轩H5
天翼电信/2.4英寸屏,99.00,3897.0,皓轩手机旗舰店,4G全网通皓轩H5
天翼电信/2.8英寸屏,109.00,3897.0,皓轩手机旗舰店,4G全网通皓轩H5
全网通4G/2.8英寸屏,179.00,3897.0,皓轩手机旗舰店,4G全网通皓轩H5
6+128GB,2198.00,4405.0,vivo官方旗舰店,vivoiQOONeo
8+128GB,2498.00,4405.0,vivo官方旗舰店,vivoiQOONeo
6+64GB,1998.00,4405.0,vivo官方旗舰店,vivoiQOONeo
4+128GB,1099.00,6343.0,小米官方旗舰店,小米CC9e
6+128GB,1299.00,6343.0,小米官方旗舰店,小米CC9e
移动手机（五年换新）,135.00,10215.0,慕尚年华数码专营店,长虹L9
移动手机（一年换新）,129.00,10215.0,慕尚年华数码专营店,长虹L9
移动手机（30天换新）,119.00,10215.0,慕尚年华数码专营店,长虹L9
移动手机（15天换新）,99.00,10215.0,慕尚年华数码专营店,长虹L9
电信手机（五年换新）,149.00,10215.0,慕尚年华数码专营店,长虹L9
8GB+128GB,3298.00,7634.0,vivo官方旗舰店,vivoiQOOPro
12GB+128GB,3798.00,7634.0,vivo官方旗舰店,vivoiQOOPro
8+128GB,3199.00,6915.0,OPPO官方旗舰店,OPPORenoAce
8+256GB,3399.00,6915.0,OPPO官方旗舰店,OPPORenoAce
64GB,4588.00,116598.0,苏宁易购官方旗舰店,iPhoneXR
128GB,5088.00,116598.0,苏宁易购官方旗舰店,iPhoneXR
4+64GB,1099.00,1338.0,荣耀官方旗舰店,荣耀20青春版
6+64GB,1399.00,1338.0,荣耀官方旗舰店,荣耀20青春版
6+128GB,1699.00,1338.0,荣耀官方旗舰店,荣耀20青春版
8+128GB,1899.00,1338.0,荣耀官方旗舰店,荣耀20青春版
6+128GB,1699.00,13170.0,荣耀官方旗舰店,荣耀Magic2滑盖
8+128GB,1999.00,13170.0,荣耀官方旗舰店,荣耀Magic2滑盖
8+128GB,4488.00,27901.0,华为官方旗舰店,华为P30Pro
8+256GB,4988.00,27901.0,华为官方旗舰店,华为P30Pro
8+512GB,5788.00,27901.0,华为官方旗舰店,华为P30Pro
移动/联通/双卡双待,95.00,23921.0,炜广天成数码专营店,创星S1
移动/联通/双卡双待,88.00,23921.0,炜广天成数码专营店,创星S1
移动/联通/双卡双待,58.00,23921.0,炜广天成数码专营店,创星S1
电信单卡/单待,119.00,23921.0,炜广天成数码专营店,创星S1
全网通4G/双卡双待,198.00,23921.0,炜广天成数码专营店,创星S1
512MB,168.00,97167.0,慕尚年华数码专营店,纽曼F9
128GB,5999.00,1358.0,洋桃旗舰店,AppleiPhone11
64GB,5499.00,1358.0,洋桃旗舰店,AppleiPhone11
移动双卡(5年换新),95.00,5706.0,深圳易乐购数码专营店,纽曼W560
移动双卡(1年保修),78.00,5706.0,深圳易乐购数码专营店,纽曼W560
电信单卡(1年保修),128.00,5706.0,深圳易乐购数码专营店,纽曼W560
电信单卡(5年换新),135.00,5706.0,深圳易乐购数码专营店,纽曼W560
6+64GB,1299.00,3264.0,苏宁易购官方旗舰店,荣耀9X
8+128GB,1999.00,3264.0,苏宁易购官方旗舰店,荣耀9X
6+128GB,1799.00,3264.0,苏宁易购官方旗舰店,荣耀9X
4+64GB,1099.00,3264.0,苏宁易购官方旗舰店,荣耀9X
3+32GB,599.00,11869.0,荣耀官方旗舰店,荣耀畅玩8A
3+64GB,999.00,11869.0,荣耀官方旗舰店,荣耀畅玩8A
移动2.8英寸屏,95.00,2236.0,嘉宇金成数码专营店,中兴守护宝L105
移动2.6英寸屏,89.00,2236.0,嘉宇金成数码专营店,中兴守护宝L105
移动2.4英寸屏,69.00,2236.0,嘉宇金成数码专营店,中兴守护宝L105
电信2.8英寸屏,119.00,2236.0,嘉宇金成数码专营店,中兴守护宝L105
4G全网通2.8英寸屏,219.00,2236.0,嘉宇金成数码专营店,中兴守护宝L105
4+4MB,139.00,3942.0,苏宁易购官方旗舰店,诺基亚105
4+64GB,999.00,1786.0,苏宁易购官方旗舰店,红米note8
6+64GB,1099.00,1786.0,苏宁易购官方旗舰店,红米note8
6+128GB,1299.00,1786.0,苏宁易购官方旗舰店,红米note8
8+128GB,2599.00,3710.0,京合旗舰店,华为nova5Pro
8+256GB,3099.00,3710.0,京合旗舰店,华为nova5Pro
6+128GB,1799.00,6914.0,华为官方旗舰店,华为nova5iPro
8+128GB,2099.00,6914.0,华为官方旗舰店,华为nova5iPro
8+256GB,2399.00,6914.0,华为官方旗舰店,华为nova5iPro
2+32GB,799.00,91000.0,华为官方旗舰店,华为畅享8e
6+128GB,2799.00,2937.0,小米官方旗舰店,小米CC9Pro
8+128GB,3099.00,2937.0,小米官方旗舰店,小米CC9Pro
6+128GB,1399.00,1578.0,苏宁易购官方旗舰店,红米note8pro
8+128GB,1599.00,1578.0,苏宁易购官方旗舰店,红米note8pro
8+256GB,1799.00,1578.0,苏宁易购官方旗舰店,红米note8pro
6+64GB,1199.00,1578.0,苏宁易购官方旗舰店,红米note8pro
8+256GB,4199.00,2493.0,荣耀官方旗舰店,荣耀V30PRO
3+32G,388.00,1707.0,硕王捷信时代专卖店,SAILFR20
4+32,488.00,1707.0,硕王捷信时代专卖店,SAILFR20
6+64G,588.00,1707.0,硕王捷信时代专卖店,SAILFR20
6+128G,688.00,1707.0,硕王捷信时代专卖店,SAILFR20
2+32GB,539.00,10300.0,小米官方旗舰店,红米7A
3+32GB,549.00,10300.0,小米官方旗舰店,红米7A
4+64GB,899.00,6792.0,荣耀官方旗舰店,荣耀Play3
6+64GB,1299.00,6792.0,荣耀官方旗舰店,荣耀Play3
4+4MB,129.00,2672.0,天讯蓝图数码专营店,诺基亚105新ss
8+128GB,5799.00,10411.0,华为官方旗舰店,华为Mate30Pro
8+256GB,6299.00,10411.0,华为官方旗舰店,华为Mate30Pro
移动/联通,168.00,2153.0,纽曼深圳专卖店,纽曼M6
移动/联通,158.00,2153.0,纽曼深圳专卖店,纽曼M6
移动/联通,148.00,2153.0,纽曼深圳专卖店,纽曼M6
电信/天翼,188.00,2153.0,纽曼深圳专卖店,纽曼M6
电信/天翼,198.00,2153.0,纽曼深圳专卖店,纽曼M6
2+16GB,479.00,2968.0,苏宁易购官方旗舰店,红米7A
3+32GB,549.00,2968.0,苏宁易购官方旗舰店,红米7A
2+32GB,539.00,2968.0,苏宁易购官方旗舰店,红米7A
3+32GB,699.00,1994.0,苏宁易购官方旗舰店,红米8A
4+64GB,699.00,1994.0,苏宁易购官方旗舰店,红米8A
32MB,86.00,9776.0,苏宁易购官方旗舰店,上海中兴守护宝L550
